Area,BHK,Bathroom,Furnishing,Locality,Parking,Price,Type
1350.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,1.0,21000000,Builder_Floor
1700.0,3,3.0,Unfurnished,Lajpat Nagar 3,1.0,28000000,Builder_Floor
1600.0,3,3.0,Unfurnished,Lajpat Nagar 3,2.0,29500000,Builder_Floor
1350.0,2,2.0,Furnished,Lajpat Nagar 2,4.0,12500000,Builder_Floor
1500.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,2.0,26000000,Builder_Floor
750.0,2,2.0,Semi-Furnished,Other,2.0,11500000,Builder_Floor
850.0,2,2.0,Semi-Furnished,Lajpat Nagar 2,2.0,14600000,Builder_Floor
1575.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,1.0,25500000,Builder_Floor
1675.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,2.0,31000000,Builder_Floor
1350.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,2.0,22000000,Builder_Floor
900.0,2,2.0,Semi-Furnished,Lajpat Nagar 2,2.0,13400000,Builder_Floor
1800.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,2.0,35000000,Builder_Floor
900.0,2,2.0,Furnished,Lajpat Nagar 2,2.0,11000000,Builder_Floor
900.0,2,2.0,Unfurnished,Other,2.0,6300000,Builder_Floor
900.0,2,2.0,Furnished,Lajpat Nagar 2,2.0,12500000,Builder_Floor
800.0,2,2.0,Unfurnished,Lajpat Nagar 2,1.0,14500000,Builder_Floor
1100.0,2,3.0,Semi-Furnished,Lajpat Nagar 2,1.0,22500000,Builder_Floor
810.0,2,2.0,Semi-Furnished,Lajpat Nagar 2,1.0,15500000,Builder_Floor
1500.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,1.0,26000000,Builder_Floor
900.0,2,2.0,Semi-Furnished,Lajpat Nagar 2,1.0,15800000,Builder_Floor
825.0,2,2.0,Unfurnished,Lajpat Nagar 2,1.0,15000000,Builder_Floor
900.0,2,2.0,Unfurnished,Lajpat Nagar 2,1.0,13000000,Builder_Floor
875.0,2,2.0,Unfurnished,Lajpat Nagar 2,1.0,15000000,Builder_Floor
1350.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,1.0,25000000,Builder_Floor
750.0,2,2.0,Semi-Furnished,Lajpat Nagar 2,1.0,16500000,Builder_Floor
900.0,2,2.0,Unfurnished,Lajpat Nagar 2,1.0,10300000,Builder_Floor
1350.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,1.0,26000000,Builder_Floor
900.0,2,2.0,Unfurnished,Lajpat Nagar 2,1.0,11000000,Builder_Floor
1800.0,3,3.0,Unfurnished,Lajpat Nagar 2,1.0,28500000,Builder_Floor
900.0,2,2.0,Unfurnished,Lajpat Nagar 2,1.0,11000000,Builder_Floor
450.0,2,1.0,Unfurnished,Other,1.0,3600000,Builder_Floor
100.0,3,2.0,Furnished,Other,1.0,4300000,Builder_Floor
900.0,3,2.0,Semi-Furnished,Other,1.0,4000000,Builder_Floor
500.0,2,2.0,Semi-Furnished,Other,1.0,1650000,Apartment
450.0,1,1.0,Furnished,Other,1.0,2000000,Builder_Floor
75.0,2,2.0,Semi-Furnished,Other,1.0,3000000,Builder_Floor
270.0,2,1.0,Semi-Furnished,Other,1.0,1400000,Apartment
500.0,2,1.0,Semi-Furnished,Other,1.0,2000000,Builder_Floor
444.0,2,2.0,Unfurnished,Other,1.0,2000000,Apartment
400.0,1,1.0,Furnished,Other,1.0,2000000,Builder_Floor
729.0,3,4.0,Furnished,Other,1.0,2600000,Builder_Floor
2400.0,6,4.0,Furnished,Other,1.0,6000000,Builder_Floor
450.0,2,2.0,Furnished,Other,1.0,4000000,Builder_Floor
405.0,2,3.0,Furnished,Other,1.0,6200000,Builder_Floor
666.0,1,2.0,Furnished,Other,1.0,3500000,Builder_Floor
1000.0,2,2.0,Semi-Furnished,Other,1.0,7600000,Apartment
1360.0,4,3.0,Semi-Furnished,Other,1.0,13500000,Builder_Floor
1550.0,4,3.0,Semi-Furnished,Other,1.0,12500000,Builder_Floor
850.0,3,2.0,Semi-Furnished,Other,1.0,6500000,Builder_Floor
2170.0,4,4.0,Unfurnished,Other,2.0,22000000,Builder_Floor
720.0,3,2.0,Semi-Furnished,Other,1.0,6000000,Builder_Floor
850.0,3,2.0,Semi-Furnished,Other,1.0,7300000,Builder_Floor
950.0,3,2.0,Semi-Furnished,Other,1.0,7600000,Builder_Floor
2300.0,4,4.0,Semi-Furnished,Other,1.0,20000000,Builder_Floor
1300.0,4,4.0,Semi-Furnished,Other,1.0,15000000,Builder_Floor
1100.0,3,2.0,Semi-Furnished,Other,1.0,6200000,Builder_Floor
1030.0,3,2.0,Furnished,Other,1.0,6200000,Builder_Floor
750.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,5000000,Apartment
720.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,4700000,Apartment
800.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,5500000,Apartment
350.0,1,1.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,2000000,Apartment
980.0,3,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,7300000,Apartment
1600.0,4,3.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,13000000,Apartment
1450.0,3,3.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,11500000,Apartment
445.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,2800000,Apartment
380.0,1,1.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,2200000,Apartment
680.0,2,2.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,4400000,Apartment
1600.0,3,3.0,Semi-Furnished,"J R Designers Floors, Rohini Sector 24",1.0,13500000,Apartment
